id,param1,param2,bnf,type
135,mapreduce.job.log4j-properties-file,mapreduce.reduce.log.level,{(mapreduce.job.log4j-properties-file != null) => (mapreduce.reduce.log.level = ANY)},overwrite
136,hadoop.security.group.mapping.ldap.userbase,hadoop.security.group.mapping.ldap.base,{(hadoop.security.group.mapping.ldap.userbase = null) => (hadoop.security.group.mapping.ldap.base != null)},control
137,hadoop.security.group.mapping.ldap.groupbase,hadoop.security.group.mapping.ldap.base,{(hadoop.security.group.mapping.ldap.groupbase = null) => (hadoop.security.group.mapping.ldap.base != null)},control
138,dfs.client.read.prefetch.size,dfs.blocksize,{(dfs.blocksize > 0) => (dfs.client.read.prefetch.size = (10 * dfs.blocksize)) && (dfs.blocksize != null) && (dfs.client.read.prefetch.size != null)},value
139,dfs.namenode.edits.dir,dfs.namenode.name.dir,{(dfs.namenode.edits.dir = null) => (dfs.namenode.edits.dir = dfs.namenode.name.dir)},default
140,fs.defaultFS,dfs.namenode.rpc-address,{(fs.defaultFS = null) => (dfs.namenode.rpc-address != null)},default
141,dfs.internal.nameservices,dfs.nameservices,{(dfs.nameservices != null) => (dfs.internal.nameservices = dfs.nameservices)},overwrite
142,dfs.journalnode.kerberos.internal.spnego.principal,dfs.web.authentication.kerberos.keytab,{(dfs.journalnode.kerberos.internal.spnego.principal = '*') => (dfs.web.authentication.kerberos.keytab != null)},control
143,yarn.client.failover-max-attempts,yarn.resourcemanager.connect.max-wait.ms,{(yarn.resourcemanager.connect.max-wait.ms != null) => (yarn.client.failover-max-attempts = ANY)},overwrite
144,yarn.nodemanager.container-monitor.resource-calculator.class,yarn.nodemanager.resource-calculator.class,{(yarn.nodemanager.container-monitor.resource-calculator.class = 'null') => (yarn.nodemanager.container-monitor.resource-calculator.class = yarn.nodemanager.resource-calculator.class)},default
145,yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage,yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,{(yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage > yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage) => (yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage = yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage)},value
146,yarn.nodemanager.resourcemanager.connect.retry-interval.ms,yarn.resourcemanager.connect.retry-interval.ms,{(yarn.nodemanager.resourcemanager.connect.retry-interval.ms = ANY) => (yarn.nodemanager.resourcemanager.connect.retry-interval.ms = yarn.resourcemanager.connect.retry-interval.ms)},default
147,yarn.client.failover-sleep-max-ms,yarn.resourcemanager.connect.retry-interval.ms,{(yarn.client.failover-sleep-max-ms = null) => (yarn.client.failover-sleep-max-ms = yarn.resourcemanager.connect.retry-interval.ms)},default
148,yarn.resourcemanager.fail-fast,yarn.fail-fast,{(yarn.resourcemanager.fail-fast = ANY) => (yarn.resourcemanager.fail-fast = yarn.fail-fast)},default
149,yarn.nodemanager.resourcemanager.connect.max-wait.ms,yarn.resourcemanager.connect.max-wait.ms,{(yarn.nodemanager.resourcemanager.connect.max-wait.ms = null) => (yarn.nodemanager.resourcemanager.connect.max-wait.ms = yarn.resourcemanager.connect.max-wait.ms)},default
150,yarn.nodemanager.container-monitor.interval-ms,yarn.nodemanager.resource-monitor.interval-ms,{(yarn.nodemanager.container-monitor.interval-ms = null) => (yarn.nodemanager.container-monitor.interval-ms = yarn.nodemanager.resource-monitor.interval-ms)},default
151,yarn.client.failover-sleep-base-ms,yarn.resourcemanager.connect.retry-interval.ms,{(yarn.client.failover-sleep-base-ms = null) => (yarn.client.failover-sleep-base-ms = yarn.resourcemanager.connect.retry-interval.ms)},default
152,mapreduce.task.profile.map.params,mapreduce.task.profile.params,{(mapreduce.task.profile.map.params = mapreduce.task.profile.params)},overwrite
153,mapreduce.task.profile.reduce.params,mapreduce.task.profile.params,{(mapreduce.task.profile.reduce.params = mapreduce.task.profile.params)},overwrite
154,hbase.hstore.compaction.min,hbase.hstore.compactionThreshold,"{(hbase.hstore.compaction.min = hbase.hstore.compactionThreshold) => (hbase.hstore.compactionThreshold in {1, 2, 3, 4, 5, 6, 7, 8, 9, 10})}",value
155,hbase.regionserver.thread.compaction.throttle, hbase.hstore.compaction.max,{(hbase.hstore.compaction.max > 0) => (hbase.regionserver.thread.compaction.throttle = (2 * hbase.hstore.compaction.max * hbase.hregion.memstore.flush.size))},value
156,dfs.namenode.checkpoint.edits.dir,dfs.namenode.checkpoint.dir,{(dfs.namenode.checkpoint.dir = ANY) => (dfs.namenode.checkpoint.edits.dir = dfs.namenode.checkpoint.dir)},default
157,dfs.namenode.kerberos.internal.spnego.principal,dfs.web.authentication.kerberos.principal,{(dfs.namenode.kerberos.internal.spnego.principal != null) => (dfs.web.authentication.kerberos.principal = dfs.namenode.kerberos.internal.spnego.principal)},overwrite
158,yarn.app.mapreduce.am.container.log.limit.kb,yarn.app.mapreduce.am.container.log.backups,{(yarn.app.mapreduce.am.container.log.limit.kb > 0) && (yarn.app.mapreduce.am.container.log.backups > 0) => (CRLA = 'enabled')},value
159,dfs.namenode.edit.log.autoroll.multiplier.threshold,dfs.namenode.checkpoint.txns,{(dfs.namenode.edit.log.autoroll.multiplier.threshold > 0) => (dfs.namenode.checkpoint.txns > 0) && (dfs.namenode.checkpoint.txns != null) && (dfs.namenode.edit.log.autoroll.multiplier.threshold != null)},value
160,yarn.app.mapreduce.shuffle.log.backups,yarn.app.mapreduce.shuffle.log.limit.kb,{(yarn.app.mapreduce.shuffle.log.limit.kb > 0) && (yarn.app.mapreduce.shuffle.log.backups > 0) => (yarn.app.mapreduce.shuffle.log.backups != null) && (yarn.app.mapreduce.shuffle.log.limit.kb != null)},value
161,dfs.namenode.avoid.write.stale.datanode,dfs.namenode.write.stale.datanode.ratio,{(dfs.namenode.avoid.write.stale.datanode = true) => (dfs.namenode.write.stale.datanode.ratio in [0.0..1.0]) && (dfs.namenode.write.stale.datanode.ratio != null)},value
162,dfs.namenode.stale.datanode.interval,dfs.namenode.avoid.read.stale.datanode,{(dfs.namenode.stale.datanode.interval > 0) => (dfs.namenode.avoid.read.stale.datanode = true) && (dfs.namenode.stale.datanode.interval != null) && (dfs.namenode.avoid.read.stale.datanode != null)},value
163,hbase.zookeeper.quorum,hbase.zookeeper.property.clientPort,{(hbase.zookeeper.quorum != null) => (hbase.zookeeper.property.clientPort != null)},control
164,fs.ftp.host,fs.ftp.host.port,{(fs.ftp.host != null) => (fs.ftp.host.port in {21} || fs.ftp.host.port > 0)},value
165,hbase.hregion.majorcompaction,hbase.hregion.majorcompaction.jitter,{(hbase.hregion.majorcompaction > 0) => (hbase.hregion.majorcompaction.jitter >= 0) && (hbase.hregion.majorcompaction.jitter <= hbase.hregion.majorcompaction)},value
166,yarn.nodemanager.remote-app-log-dir-suffix,yarn.nodemanager.remote-app-log-dir,{(yarn.nodemanager.remote-app-log-dir != null) => (yarn.nodemanager.remote-app-log-dir-suffix != 'null') && (yarn.nodemanager.remote-app-log-dir in ANY)},overwrite
167,yarn.timeline-service.enabled,yarn.timeline-service.version,"{(yarn.timeline-service.enabled = true) => (yarn.timeline-service.version in {1.5, 2.0, 3.0}) && (yarn.timeline-service.version != null)}",control
168,hbase.client.pause,hbase.client.retries.number,{(hbase.client.retries.number > 0) => (hbase.client.pause > 0) && (hbase.client.retries.number != null) && (hbase.client.pause != null)},value
169,hbase.client.pause,hbase.client.pause.server.overloaded,{(hbase.client.pause.server.overloaded > hbase.client.pause) => (hbase.client.pause > 0) && (hbase.client.pause.server.overloaded > 0)},value
170,hbase.client.scanner.caching,hbase.client.scanner.max.result.size,{(hbase.client.scanner.caching > 0) => (hbase.client.scanner.max.result.size > 0) && (hbase.client.scanner.caching != null) && (hbase.client.scanner.max.result.size != null)},value
171,hbase.hregion.max.filesize,hbase.hregion.split.overallfiles,{(hbase.hregion.split.overallfiles = true) => (hbase.hregion.max.filesize > 0) && (hbase.hregion.max.filesize != null)},value
172,hfile.block.cache.memory.size,hfile.block.cache.size,{(hfile.block.cache.memory.size != null) => (hfile.block.cache.size = ANY)},overwrite
173,hbase.regionserver.kerberos.principal,hbase.regionserver.keytab.file,{(hbase.regionserver.kerberos.principal != null) => (hbase.regionserver.keytab.file != null)},control
174,hbase.data.umask,hbase.data.umask.enable,{(hbase.data.umask.enable = true) => (hbase.data.umask != null)},control
175,hbase.regionserver.slowlog.buffer.enabled,hbase.regionserver.slowlog.ringbuffer.size,{(hbase.regionserver.slowlog.buffer.enabled = true) => (hbase.regionserver.slowlog.ringbuffer.size > 0)},value
176,hbase.rpc.rows.size.threshold.reject,hbase.rpc.rows.warning.threshold,{(hbase.rpc.rows.size.threshold.reject = true) => (hbase.rpc.rows.warning.threshold > 0) && (hbase.rpc.rows.warning.threshold != null)},value
177,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,{(hadoop.security.group.mapping.ldap.ssl = true) => (hadoop.security.group.mapping.ldap.ssl.keystore.password.file != null)},control
178,hadoop.security.group.mapping.ldap.ssl.keystore,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,{(hadoop.security.group.mapping.ldap.ssl.keystore != null) => (hadoop.security.group.mapping.ldap.ssl.keystore.password.file != null) || (hadoop.security.group.mapping.ldap.ssl.keystore.password != null)},overwrite
179,hadoop.security.credential.clear-text-fallback,hadoop.security.group.mapping.ldap.ssl.keystore.password,{(hadoop.security.credential.clear-text-fallback = true) => (hadoop.security.group.mapping.ldap.ssl.keystore.password != null)},control
180,hadoop.security.credential.clear-text-fallback,hadoop.security.group.mapping.ldap.bind.password,{(hadoop.security.credential.clear-text-fallback = true) => (hadoop.security.group.mapping.ldap.bind.password != null)},control
181,hadoop.security.group.mapping.ldap.directory.search.timeout,hadoop.security.group.mapping.ldap.search.group.hierarchy.levels,{(hadoop.security.group.mapping.ldap.search.group.hierarchy.levels > 0) => (hadoop.security.group.mapping.ldap.directory.search.timeout >= 10) && (hadoop.security.group.mapping.ldap.directory.search.timeout != 0)},value
182,fs.s3a.aws.credentials.provider,fs.s3a.secret.key,{(fs.s3a.aws.credentials.provider = 'org.apache.hadoop.fs.s3a.BasicAWSCredentialsProvider') => (fs.s3a.secret.key != null) && (fs.s3a.secret.key != '')},control
183,fs.s3a.fast.upload.buffer,fs.s3a.threads.max,"{(fs.s3a.fast.upload.buffer in {""array"", ""bytebuffer""}) => (fs.s3a.threads.max > 0) && (fs.s3a.threads.max != null)}",value
184,fs.s3a.fast.upload.buffer,fs.s3a.max.total.tasks,"{(fs.s3a.fast.upload.buffer in {""array"", ""bytebuffer""}) => (fs.s3a.max.total.tasks > 0) && (fs.s3a.max.total.tasks != null)}",value
185,fs.s3a.fast.upload.buffer,fs.s3a.multipart.size,"{(fs.s3a.fast.upload.buffer in {""array"", ""bytebuffer""}) => (fs.s3a.multipart.size > 0) && (fs.s3a.multipart.size != null)}",value
186,fs.s3a.buffer.dir,fs.s3a.fast.upload.buffer,{(fs.s3a.fast.upload.buffer = 'disk') => (fs.s3a.buffer.dir != null) && (fs.s3a.buffer.dir != '')},value
187,fs.s3a.s3guard.ddb.table,fs.s3a.s3guard.ddb.table.capacity.write,{(fs.s3a.s3guard.ddb.table != null) => (fs.s3a.s3guard.ddb.table.capacity.write in ANY)},overwrite
188,fs.s3a.s3guard.ddb.table.capacity.read,fs.s3a.s3guard.ddb.table.capacity.write,{(fs.s3a.s3guard.ddb.table.capacity.read > 0) => (fs.s3a.s3guard.ddb.table.capacity.write > 0) && (fs.s3a.s3guard.ddb.table.capacity.read != null) && (fs.s3a.s3guard.ddb.table.capacity.write != null)},value
189,net.topology.node.switch.mapping.impl,net.topology.script.file.name,{(net.topology.node.switch.mapping.impl = 'DEFAULT') => (net.topology.script.file.name = 'DEFAULT_RACK') && (net.topology.script.file.name != null) && (net.topology.script.file.name in {ANY})},control
190,fs.defaultFS,hadoop.shell.missing.defaultFs.warning,{(fs.defaultFS = null) => (hadoop.shell.missing.defaultFs.warning = true)},default
191,fs.client.resolve.topology.enabled,net.topology.script.file.name,{(fs.client.resolve.topology.enabled = true) => (net.topology.script.file.name != null)},control
192,mapreduce.job.ubertask.enable,yarn.app.mapreduce.am.resource.mb,{(mapreduce.job.ubertask.enable = true) => (yarn.app.mapreduce.am.resource.mb > mapreduce.map.memory.mb) && (yarn.app.mapreduce.am.resource.mb > mapreduce.reduce.memory.mb)},value
193,mapreduce.job.ubertask.enable,yarn.app.mapreduce.am.resource.cpu-vcores,{(mapreduce.job.ubertask.enable = true) => (yarn.app.mapreduce.am.resource.cpu-vcores > mapreduce.map.cpu.vcores) && (yarn.app.mapreduce.am.resource.cpu-vcores > mapreduce.reduce.cpu.vcores)},value
194,mapreduce.task.profile,mapreduce.task.profile.params,{(mapreduce.task.profile = true) => (mapreduce.task.profile.params != null)},control
195,mapreduce.task.profile,mapreduce.task.profile.map.params,{(mapreduce.task.profile = true) => (mapreduce.task.profile.map.params != null)},control
196,mapreduce.task.profile,mapreduce.task.profile.reduce.params,{(mapreduce.task.profile = true) => (mapreduce.task.profile.reduce.params != null)},control
197,mapreduce.cluster.acls.enabled,mapreduce.job.acl-view-job,{(mapreduce.cluster.acls.enabled = true) => (mapreduce.job.acl-view-job != null)},control
198,mapreduce.job.token.tracking.ids,mapreduce.job.token.tracking.ids.enabled,{(mapreduce.job.token.tracking.ids.enabled = true) => (mapreduce.job.token.tracking.ids != null)},control
199,mapreduce.jobhistory.intermediate-done-dir,mapreduce.jobhistory.intermediate-user-done-dir.permissions,{(mapreduce.jobhistory.intermediate-done-dir != null) => (mapreduce.jobhistory.intermediate-user-done-dir.permissions in {7})},value
200,mapreduce.outputcommitter.factory.class,mapreduce.outputcommitter.factory.scheme.s3a,{(mapreduce.outputcommitter.factory.class != null) => (mapreduce.outputcommitter.factory.scheme.s3a = ANY)},overwrite
201,yarn.resourcemanager.recovery.enabled,yarn.resourcemanager.store.class,{(yarn.resourcemanager.recovery.enabled = true) => (yarn.resourcemanager.store.class != null)},control
202,yarn.resourcemanager.store.class,yarn.resourcemanager.zk-state-store.root-node.acl,{(yarn.resourcemanager.store.class = 'org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore') => (yarn.resourcemanager.zk-state-store.root-node.acl != null)},control
203,yarn.resourcemanager.leveldb-state-store.path,yarn.resourcemanager.store.class,{(yarn.resourcemanager.store.class = 'org.apache.hadoop.yarn.server.resourcemanager.recovery.LeveldbRMStateStore') => (yarn.resourcemanager.leveldb-state-store.path != null)},control
204,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.ha.rm-ids,{(yarn.resourcemanager.ha.enabled = true) => (yarn.resourcemanager.ha.rm-ids != null) && (yarn.resourcemanager.ha.rm-ids != {})},control
205,yarn.log-aggregation-enable,yarn.nodemanager.remote-app-log-dir,{(yarn.log-aggregation-enable = true) => (yarn.nodemanager.remote-app-log-dir != null)},control
206,yarn.log-aggregation-enable,yarn.nodemanager.remote-app-log-dir-suffix,{(yarn.log-aggregation-enable = true) => (yarn.nodemanager.remote-app-log-dir-suffix != null)},control
207,yarn.nodemanager.disk-health-checker.min-healthy-disks,yarn.nodemanager.log-dirs,{(yarn.nodemanager.disk-health-checker.min-healthy-disks > 0) => (yarn.nodemanager.log-dirs != null)},value
208,yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,yarn.nodemanager.local-dirs,{(yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage >= 0.0) && (yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage <= 100.0) => (yarn.nodemanager.local-dirs != null)},value
209,yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage,yarn.nodemanager.local-dirs,{(yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage > 0.0) && (yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage <= 100.0) => (yarn.nodemanager.local-dirs != null)},value
210,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,yarn.nodemanager.local-dirs,{(yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb > 0) => (yarn.nodemanager.local-dirs != null)},value
211,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,yarn.nodemanager.log-dirs,{(yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb > 0) => (yarn.nodemanager.log-dirs != null)},value
212,yarn.nodemanager.disk-health-checker.disk-free-space-threshold.enabled,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,{(yarn.nodemanager.disk-health-checker.disk-free-space-threshold.enabled = true) => (yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb > 0) && (yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb!= null)},value
213,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb,{(yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb < yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb) => (yarn.nodemanager.disk-health-checker.min-free-space-per-disk-watermark-high-mb = yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb)},value
214,yarn.nodemanager.node-attributes.provider,yarn.nodemanager.node-attributes.provider.configured-node-attributes,{(yarn.nodemanager.node-attributes.provider = 'config') => (yarn.nodemanager.node-attributes.provider.configured-node-attributes != null)},control
215,yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds,yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds.min,{(yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds > 0) => (yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds >= yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds.min)},value
216,yarn.nodemanager.elastic-memory-control.enabled,yarn.nodemanager.resource.detect-hardware-capabilities,{(yarn.nodemanager.elastic-memory-control.enabled = true) => (yarn.nodemanager.resource.detect-hardware-capabilities = true)},control
217,yarn.nodemanager.elastic-memory-control.enabled,yarn.nodemanager.elastic-memory-control.oom-handler,{(yarn.nodemanager.elastic-memory-control.enabled = true) => (yarn.nodemanager.elastic-memory-control.oom-handler != null)},control
218,dfs.client.block.write.replace-datanode-on-failure.best-effort,dfs.client.block.write.replace-datanode-on-failure.enable,"{(dfs.client.block.write.replace-datanode-on-failure.enable = true) => (dfs.client.block.write.replace-datanode-on-failure.best-effort in {true, false})}",value
219,dfs.namenode.resource.check.interval,dfs.namenode.resource.checked.volumes,{(dfs.namenode.resource.check.interval > 0) => (dfs.namenode.resource.checked.volumes != null)},value
220,dfs.namenode.decommission.blocks.per.interval,dfs.namenode.decommission.interval,{(dfs.namenode.decommission.interval > 0) => (dfs.namenode.decommission.blocks.per.interval >= 0)},value
221,dfs.encrypt.data.transfer,dfs.encrypt.data.transfer.cipher.suites,{(dfs.encrypt.data.transfer.cipher.suites != null) => (dfs.encrypt.data.transfer = true)},control
222,dfs.namenode.enable.retrycache,dfs.namenode.retrycache.expirytime.millis,{(dfs.namenode.enable.retrycache = true) => (dfs.namenode.retrycache.expirytime.millis > 0) && (dfs.namenode.retrycache.expirytime.millis!= null)},value
223,dfs.block.access.key.update.interval,dfs.block.access.token.lifetime,{ dfs.block.access.key.update.interval = ANY => dfs.block.access.token.lifetime != null },control
224,dfs.block.invalidate.limit,dfs.heartbeat.interval,{ dfs.heartbeat.interval = ANY=> dfs.block.invalidate.limit >= 20 * dfs.heartbeat.interval },value
225,dfs.blockreport.initialDelay,dfs.blockreport.intervalMsec,{ dfs.blockreport.initialDelay * 1000 >= dfs.blockreport.intervalMsec => dfs.blockreport.initialDelay = 0 },value
226,dfs.client.domain.socket.data.traffic,dfs.client.use.legacy.blockreader.local,{ dfs.client.domain.socket.data.traffic = false => dfs.client.use.legacy.blockreader.local = true },control
227,dfs.client.read.shortcircuit.buffer.size,file.bytes-per-checksum,{ file.bytes-per-checksum = 0 => dfs.client.read.shortcircuit.buffer.size = 0 },value
228,dfs.client.read.shortcircuit.buffer.size,hbase.hstore.bytes.per.checksum,{hbase.hstore.bytes.per.checksum = ANY => dfs.client.read.shortcircuit.buffer.size>hbase.hstore.bytes.per.checksum},value
229,dfs.client.use.legacy.blockreader.local,dfs.domain.socket.path,{ dfs.client.use.legacy.blockreader.local = false => dfs.domain.socket.path != null },control
230,dfs.data.transfer.protection,hadoop.rpc.protection,{ dfs.data.transfer.protection != null => hadoop.rpc.protection = dfs.data.transfer.protection },overwrite
231,dfs.datanode.balance.max.concurrent.moves,dfs.mover.moverThreads,{ dfs.mover.moverThreads = ANY => (dfs.datanode.balance.max.concurrent.moves = ANY => threadsPerTarget <= dfs.datanode.balance.max.concurrent.moves) },value
232,dfs.datanode.cache.revocation.polling.ms,dfs.datanode.cache.revocation.timeout.ms,"{ dfs.datanode.cache.revocation.timeout.ms = ""ANY"" => dfs.datanode.cache.revocation.polling.ms <= dfs.datanode.cache.revocation.timeout.ms / 2 }",value
233,dfs.ha.automatic-failover.enabled,dfs.ha.zkfc.port,{ dfs.ha.automatic-failover.enabled = true => dfs.ha.zkfc.port != null },control
234,dfs.heartbeat.interval,dfs.namenode.heartbeat.recheck-interval,{ dfs.namenode.heartbeat.recheck-interval = ANY => dfs.heartbeat.interval > (dfs.namenode.heartbeat.recheck-interval / 2000 - 10) },behavior
235,dfs.heartbeat.interval,dfs.namenode.stale.datanode.interval,{ dfs.namenode.stale.datanode.interval < (3 * dfs.heartbeat.interval) => dfs.namenode.stale.datanode.interval = (3 * dfs.heartbeat.interval) },value
236,dfs.image.compress,dfs.image.compression.codec,{ dfs.image.compress = false => dfs.image.compression.codec = null },control
237,dfs.journalnode.https-address,dfs.journalnode.https-bind-host,{ dfs.journalnode.https-address != null => dfs.journalnode.https-bind-host = ANY },overwrite
238,dfs.namenode.avoid.write.stale.datanode,dfs.namenode.heartbeat.recheck-interval,{ dfs.namenode.avoid.write.stale.datanode = true => dfs.namenode.heartbeat.recheck-interval > dfs.namenode.stale.datanode.interval },value
239,dfs.namenode.avoid.write.stale.datanode,dfs.namenode.stale.datanode.interval,{ dfs.namenode.avoid.write.stale.datanode = true => dfs.namenode.stale.datanode.interval < dfs.namenode.heartbeat.recheck.interval },value
240,dfs.namenode.delegation.key.update-interval,dfs.namenode.delegation.token.max-lifetime,"{ dfs.namenode.delegation.key.update-interval = ""ANY"" => dfs.namenode.delegation.token.max-lifetime = ""ANY"" => (dfs.namenode.delegation.key.update-interval + dfs.namenode.delegation.token.max-lifetime) > 0 }",value
241,dfs.namenode.https-address,dfs.namenode.https-bind-host,{ dfs.namenode.https-address != null => dfs.namenode.https-bind-host = ANY },overwrite
242,dfs.namenode.maintenance.replication.min,dfs.replication.max,{ dfs.replication.max = ANY => dfs.namenode.maintenance.replication.min < dfs.replication.max },value
243,dfs.namenode.replication.min,dfs.replication.max,{ dfs.namenode.replication.min = ANY => dfs.namenode.replication.min <= dfs.replication.max },value
244,dfs.namenode.rpc-address,dfs.namenode.servicerpc-address,{ dfs.namenode.servicerpc-address = null => dfs.namenode.rpc-address != null },behavior
245,dfs.namenode.stale.datanode.interval,dfs.namenode.stale.datanode.minimum.interval,{ dfs.namenode.stale.datanode.interval < dfs.namenode.stale.datanode.minimum.interval => dfs.namenode.stale.datanode.interval = dfs.namenode.stale.datanode.minimum.interval },value
246,dfs.web.authentication.filter,dfs.webhdfs.enabled,{ dfs.webhdfs.enabled = true => dfs.web.authentication.filter != null },control
247,dfs.webhdfs.acl.provider.permission.pattern,dfs.webhdfs.enabled,{ dfs.webhdfs.enabled = true => dfs.webhdfs.acl.provider.permission.pattern != null },control
248,dfs.webhdfs.enabled,dfs.webhdfs.user.provider.user.pattern,{ dfs.webhdfs.enabled = true => dfs.webhdfs.user.provider.user.pattern != null },control
249,hadoop.http.filter.initializers,yarn.timeline-service.http-cross-origin.enabled,{ hadoop.http.filter.initializers not in {CrossOriginFilterInitializer.class.getName()} => yarn.timeline-service.http-cross-origin.enabled = true },behavior
250,hadoop.registry.kerberos.realm,hadoop.registry.secure,{ hadoop.registry.secure = true => hadoop.registry.kerberos.realm != null },control
251,ipc.client.ping,ipc.client.rpc-timeout.ms,{ ipc.client.ping = false => ipc.client.rpc-timeout.ms > 0 },value
252,mapreduce.app-submission.cross-platform,mapreduce.application.classpath,{ mapreduce.app-submission.cross-platform = true => mapreduce.application.classpath = ANY },overwrite
253,mapreduce.app-submission.cross-platform,yarn.application.classpath,{ mapreduce.app-submission.cross-platform = true => yarn.application.classpath = ANY },overwrite
254,mapreduce.framework.name,yarn.sharedcache.enabled,"{mapreduce.framework.name = ""yarn"" => yarn.sharedcache.enabled = true}",control
255,mapreduce.job.reduce.slowstart.completedmaps,mapreduce.job.ubertask.enable,{ mapreduce.job.ubertask.enable = true => mapreduce.job.reduce.slowstart.completedmaps = 1.0f },value
256,mapreduce.job.reduces,mapreduce.job.ubertask.enable,{ mapreduce.job.ubertask.enable = true => mapreduce.job.reduces = ANY },overwrite
257,mapreduce.job.sharedcache.mode,yarn.sharedcache.enabled,"{ yarn.sharedcache.enabled = true => mapreduce.job.sharedcache.mode = ""files"" }",value
258,mapreduce.jobhistory.cleaner.enable,mapreduce.jobhistory.cleaner.interval-ms,{ mapreduce.jobhistory.cleaner.enable = true => mapreduce.jobhistory.cleaner.interval-ms != null },control
259,mapreduce.jobhistory.http.policy,mapreduce.jobhistory.webapp.https.address,"{ mapreduce.jobhistory.http.policy = ""HTTPS_ONLY"" => mapreduce.jobhistory.webapp.https.address != null }",control
260,mapreduce.map.memory.mb,mapreduce.reduce.memory.mb,"{ mapreduce.map.memory.mb != null && mapreduce.reduce.memory.mb != null => requiredMB = MAX(mapreduce.map.memory.mb, mapreduce.reduce.memory.mb) }",behavior
261,mapreduce.map.skip.maxrecords,mapreduce.map.skip.proc-count.auto-incr,{ mapreduce.map.skip.maxrecords > 0 => mapreduce.map.skip.proc-count.auto-incr = true },value
262,mapreduce.reduce.shuffle.fetch.retry.enabled,mapreduce.reduce.shuffle.fetch.retry.timeout-ms,{ mapreduce.reduce.shuffle.fetch.retry.enabled = false => mapreduce.reduce.shuffle.fetch.retry.timeout-ms = null },control
263,mapreduce.reduce.shuffle.memory.limit.percent,mapreduce.reduce.shuffle.merge.percent,{ mapreduce.reduce.shuffle.memory.limit.percent * mapreduce.reduce.shuffle.merge.percent = ANY => maxSingleShuffleLimit < mergeThreshold },value
264,yarn.am.liveness-monitor.expiry-interval-ms,yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,{ yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs * 1000 <= yarn.am.liveness-monitor.expiry-interval-ms * 3 => yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs > yarn.am.liveness-monitor.expiry-interval-ms * 2 },behavior
265,yarn.client.failover-max-attempts,yarn.client.failover-sleep-base-ms,{ yarn.client.failover-sleep-base-ms = ANY => yarn.client.failover-max-attempts > 0 },value
266,yarn.client.failover-sleep-base-ms,yarn.resourcemanager.connect.max-wait.ms,{ yarn.resourcemanager.connect.max-wait.ms > 0 => yarn.client.failover-sleep-base-ms != 0 },value
267,yarn.http.policy,yarn.nodemanager.webapp.address,"{ yarn.http.policy = ""HTTPS_ONLY"" => yarn.nodemanager.webapp.address in { YarnConfiguration.DEFAULT_NM_WEBAPP_HTTPS_ADDRESS } }",value
268,yarn.http.policy,yarn.nodemanager.webapp.https.address,"{ yarn.http.policy = ""HTTPS_ONLY"" => yarn.nodemanager.webapp.https.address != null }",control
