yarn.nodemanager.disk-health-checker.min-healthy-disks,"The minimum fraction of number of disks to be healthy for the nodemanager to launch new containers. This correspond to both yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs. i.e. If there are less number of healthy local-dirs (or log-dirs) available, then new containers will not be launched on this node.",0.25
yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage,"The maximum percentage of disk space utilization allowed after  which a disk is marked as bad. Values can range from 0.0 to 100.0.  If the value is greater than or equal to 100, the nodemanager will check  for full disk. This applies to yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs.",90.0
yarn.nodemanager.disk-health-checker.disk-utilization-watermark-low-per-disk-percentage,"The low threshold percentage of disk space used when a bad disk is marked as good. Values can range from 0.0 to 100.0. This applies to yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs. Note that if its value is more than yarn.nodemanager.disk-health-checker. max-disk-utilization-per-disk-percentage or not set, it will be set to the same value as yarn.nodemanager.disk-health-checker.max-disk-utilization-per-disk-percentage.",
yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,The minimum space that must be available on a disk for it to be used. This applies to yarn.nodemanager.local-dirs and yarn.nodemanager.log-dirs.,0
yarn.nodemanager.linux-container-executor.path,The path to the Linux container executor.,
yarn.nodemanager.linux-container-executor.resources-handler.class,The class which should help the LCE handle resources.,org.apache.hadoop.yarn.server.nodemanager.util.DefaultLCEResourcesHandler
yarn.nodemanager.linux-container-executor.cgroups.hierarchy,"The cgroups hierarchy under which to place YARN proccesses (cannot contain commas). If yarn.nodemanager.linux-container-executor.cgroups.mount is false (that is, if cgroups have been pre-configured) and the YARN user has write access to the parent directory, then the directory will be created. If the directory already exists, the administrator has to give YARN write permissions to it recursively. This property only applies when the LCE resources handler is set to CgroupsLCEResourcesHandler.",/hadoop-yarn
yarn.nodemanager.linux-container-executor.cgroups.mount,Whether the LCE should attempt to mount cgroups if not found. This property only applies when the LCE resources handler is set to CgroupsLCEResourcesHandler. ,false
yarn.nodemanager.linux-container-executor.cgroups.mount-path,"This property sets the path from which YARN will read the CGroups configuration. YARN has built-in functionality to discover the system CGroup mount paths, so use this property only if YARN's automatic mount path discovery does not work. The path specified by this property must exist before the NodeManager is launched. If yarn.nodemanager.linux-container-executor.cgroups.mount is set to true, YARN will first try to mount the CGroups at the specified path before reading them. If yarn.nodemanager.linux-container-executor.cgroups.mount is set to false, YARN will read the CGroups at the specified path. If this property is empty, YARN tries to detect the CGroups location. Please refer to NodeManagerCgroups.html in the documentation for further details. This property only applies when the LCE resources handler is set to CgroupsLCEResourcesHandler. ",
yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,Delay in ms between attempts to remove linux cgroup,20
yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users,"This determines which of the two modes that LCE should use on   a non-secure cluster.  If this value is set to true, then all containers   will be launched as the user specified in   yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user.  If   this value is set to false, then containers will run as the user who   submitted the application.",true
yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user,The UNIX user that containers will run as when   Linux-container-executor is used in nonsecure mode (a use case for this   is using cgroups) if the   yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users is   set to true.,nobody
yarn.nodemanager.linux-container-executor.nonsecure-mode.user-pattern,The allowed pattern for UNIX user names enforced by Linux-container-executor when used in nonsecure mode (use case for this is using cgroups). The default value is taken from /usr/sbin/adduser,"^[_.A-Za-z0-9][-@_.A-Za-z0-9]{0,255}?[$]?$"
yarn.nodemanager.linux-container-executor.cgroups.strict-resource-usage,"This flag determines whether apps should run with strict resource limits or be allowed to consume spare resources if they need them. For example, turning the flag on will restrict apps to use only their share of CPU, even if the node has spare CPU cycles. The default value is false i.e. use available resources. Please note that turning this flag on may reduce job throughput on the cluster.",false
yarn.nodemanager.runtime.linux.allowed-runtimes,Comma separated list of runtimes that are allowed when using LinuxContainerExecutor. The allowed values are default and docker. ,default
yarn.nodemanager.runtime.linux.docker.capabilities,"This configuration setting determines the capabilities   assigned to docker containers when they are launched. While these may not   be case-sensitive from a docker perspective, it is best to keep these   uppercase. To run without any capabilites, set this value to   ""none"" or ""NONE""","CHOWN,DAC_OVERRIDE,FSETID,FOWNER,MKNOD,NET_RAW,SETGID,SETUID,SETFCAP,SETPCAP,NET_BIND_SERVICE,SYS_CHROOT,KILL,AUDIT_WRITE"
yarn.nodemanager.runtime.linux.docker.privileged-containers.allowed,This configuration setting determines if   privileged docker containers are allowed on this cluster.   Use with extreme care.,false
yarn.nodemanager.runtime.linux.docker.privileged-containers.acl,This configuration setting determines who is allowed to run   privileged docker containers on this cluster. Use with extreme care. ,
yarn.nodemanager.runtime.linux.docker.allowed-container-networks,The set of networks allowed when launching containers using the   DockerContainerRuntime.,"host,none,bridge"
yarn.nodemanager.runtime.linux.docker.default-container-network,The network used when launching containers using the   DockerContainerRuntime when no network is specified in the request   . This network must be one of the (configurable) set of allowed container   networks.,host
yarn.nodemanager.runtime.linux.docker.enable-userremapping.allowed,Property to enable docker user remapping,true
yarn.nodemanager.runtime.linux.docker.userremapping-uid-threshold,lower limit for acceptable uids of user remapped user,1
yarn.nodemanager.runtime.linux.docker.userremapping-gid-threshold,lower limit for acceptable gids of user remapped user,1
yarn.nodemanager.windows-container.memory-limit.enabled,This flag determines whether memory limit will be set for the Windows Job Object of the containers launched by the default container executor.,false
yarn.nodemanager.windows-container.cpu-limit.enabled,This flag determines whether CPU limit will be set for the Windows Job Object of the containers launched by the default container executor.,false
yarn.nodemanager.linux-container-executor.cgroups.delete-timeout-ms, Interval of time the linux container executor should try cleaning up cgroups entry when cleaning up a container. ,1000
yarn.nodemanager.linux-container-executor.group, The UNIX group that the linux-container-executor should run as. ,
yarn.nodemanager.log-aggregation.compression-type,T-file compression types used to compress aggregated logs.,none
yarn.nodemanager.principal,The kerberos principal for the node manager.,
yarn.nodemanager.aux-services,A comma separated list of services where service name should only   contain a-zA-Z0-9_ and can not start with numbers,
yarn.nodemanager.sleep-delay-before-sigkill.ms,No. of ms to wait between sending a SIGTERM and SIGKILL to a container,250
yarn.nodemanager.process-kill-wait.ms,Max time to wait for a process to come up when trying to cleanup a container,2000
yarn.nodemanager.resourcemanager.minimum.version,"The minimum allowed version of a resourcemanager that a nodemanager will connect to.  The valid values are NONE (no version checking), EqualToNM (the resourcemanager's version is    equal to or greater than the NM version), or a Version String.",NONE
yarn.nodemanager.container-diagnostics-maximum-size,Maximum size of contain's diagnostics to keep for relaunching   container case.,10000
yarn.nodemanager.container-retry-minimum-interval-ms,Minimum container restart interval in milliseconds.,1000
yarn.client.nodemanager-client-async.thread-pool-max-size,Max number of threads in NMClientAsync to process container management events,500
yarn.client.nodemanager-connect.max-wait-ms,Max time to wait to establish a connection to NM,180000
yarn.client.nodemanager-connect.retry-interval-ms,Time interval between each attempt to connect to NM,10000
yarn.nodemanager.resourcemanager.connect.max-wait.ms,"   Max time to wait for NM to connect to RM.   When not set, proxy will fall back to use value of   yarn.resourcemanager.connect.max-wait.ms. ",
yarn.nodemanager.resourcemanager.connect.retry-interval.ms,"   Time interval between each NM attempt to connect to RM.   When not set, proxy will fall back to use value of   yarn.resourcemanager.connect.retry-interval.ms. ",
yarn.client.max-cached-nodemanagers-proxies,   Maximum number of proxy connections to cache for node managers. If set   to a value greater than zero then the cache is enabled and the NMClient   and MRAppMaster will cache the specified number of node manager proxies.   There will be at max one proxy per node manager. Ex. configuring it to a   value of 5 will make sure that client will at max have 5 proxies cached   with 5 different node managers. These connections for these proxies will   be timed out if idle for more than the system wide idle timeout period.   Note that this could cause issues on large clusters as many connections   could linger simultaneously and lead to a large number of connection   threads. The token used for authentication will be used only at   connection creation time. If a new token is received then the earlier   connection should be closed in order to use the new token. This and   (yarn.client.nodemanager-client-async.thread-pool-max-size) are related   and should be in sync (no need for them to be equal).   If the value of this property is zero then the connection cache is   disabled and connections will use a zero idle timeout to prevent too   many connection threads on large clusters. ,0
yarn.nodemanager.recovery.enabled,Enable the node manager to recover after starting,false
yarn.nodemanager.recovery.dir,The local filesystem directory in which the node manager will store state when recovery is enabled.,${hadoop.tmp.dir}/yarn-nm-recovery
yarn.nodemanager.recovery.compaction-interval-secs,The time in seconds between full compactions of the NM state database. Setting the interval to zero disables the full compaction cycles.,3600
yarn.nodemanager.recovery.supervised,Whether the nodemanager is running under supervision. A   nodemanager that supports recovery and is running under supervision   will not try to cleanup containers as it exits with the assumption   it will be immediately be restarted and recover containers.,false
yarn.nodemanager.container-executor.os.sched.priority.adjustment," Adjustment to the container OS scheduling priority.  In Linux, passed directly to the nice command. If unspecified then containers are launched without any explicit OS priority. ",
yarn.nodemanager.container-metrics.enable, Flag to enable container metrics ,true
yarn.nodemanager.container-metrics.period-ms, Container metrics flush period in ms.  Set to -1 for flush on completion. ,-1
yarn.nodemanager.container-metrics.unregister-delay-ms, The delay time ms to unregister container metrics after completion. ,10000
yarn.nodemanager.container-monitor.process-tree.class, Class used to calculate current container resource utilization. ,
yarn.nodemanager.disk-health-checker.enable, Flag to enable NodeManager disk health checker ,true
yarn.nodemanager.log.deletion-threads-count, Number of threads to use in NM log cleanup.  Used when log aggregation is disabled. ,4
yarn.nodemanager.windows-secure-container-executor.group, The Windows group that the windows-container-executor should run as. ,
yarn.nodemanager.docker-container-executor.exec-name,   Name or path to the Docker client. ,/usr/bin/docker
yarn.nodemanager.docker-container-executor.image-name, The Docker image name to use for DockerContainerExecutor ,
yarn.nodemanager.aux-services.mapreduce_shuffle.class,,org.apache.hadoop.mapred.ShuffleHandler
yarn.web-proxy.principal,"The kerberos principal for the proxy, if the proxy is not running as part of the RM.",
yarn.web-proxy.keytab,"Keytab for WebAppProxy, if the proxy is not running as part of  the RM.",
yarn.web-proxy.address,"The address for the web proxy as HOST:PORT, if this is not  given then the proxy will run as part of the RM",
yarn.application.classpath,"   CLASSPATH for YARN applications. A comma-separated list   of CLASSPATH entries. When this value is empty, the following default   CLASSPATH for YARN applications would be used.    For Linux:   $HADOOP_CONF_DIR,   $HADOOP_COMMON_HOME/share/hadoop/common/*,   $HADOOP_COMMON_HOME/share/hadoop/common/lib/*,   $HADOOP_HDFS_HOME/share/hadoop/hdfs/*,   $HADOOP_HDFS_HOME/share/hadoop/hdfs/lib/*,   $HADOOP_YARN_HOME/share/hadoop/yarn/*,   $HADOOP_YARN_HOME/share/hadoop/yarn/lib/*   For Windows:   %HADOOP_CONF_DIR%,   %HADOOP_COMMON_HOME%/share/hadoop/common/*,   %HADOOP_COMMON_HOME%/share/hadoop/common/lib/*,   %HADOOP_HDFS_HOME%/share/hadoop/hdfs/*,   %HADOOP_HDFS_HOME%/share/hadoop/hdfs/lib/*,   %HADOOP_YARN_HOME%/share/hadoop/yarn/*,   %HADOOP_YARN_HOME%/share/hadoop/yarn/lib/* ",
yarn.timeline-service.version,"Indicate what is the current version of the running timeline service. For example, if ""yarn.timeline-service.version"" is 1.5, and ""yarn.timeline-service.enabled"" is true, it means the cluster will and should bring up the timeline service v.1.5 (and nothing else). On the client side, if the client uses the same version of timeline service, it should succeed. If the client chooses to use a smaller version in spite of this, then depending on how robust the compatibility story is between versions, the results may vary. ",1.0f
yarn.timeline-service.enabled," In the server side it indicates whether timeline service is enabled or not. And in the client side, users can enable it to indicate whether client wants to use timeline service. If it's enabled in the client side along with security, then yarn client tries to fetch the delegation tokens for the timeline server. ",false
yarn.timeline-service.hostname,The hostname of the timeline service web application.,0.0.0.0
yarn.timeline-service.address,This is default address for the timeline server to start the RPC server.,${yarn.timeline-service.hostname}:10200
yarn.timeline-service.webapp.address,The http address of the timeline service web application.,${yarn.timeline-service.hostname}:8188
yarn.timeline-service.webapp.https.address,The https address of the timeline service web application.,${yarn.timeline-service.hostname}:8190
yarn.timeline-service.bind-host,"   The actual address the server will bind to. If this optional address is   set, the RPC and webapp servers will bind to this address and the port specified in   yarn.timeline-service.address and yarn.timeline-service.webapp.address, respectively.   This is most useful for making the service listen to all interfaces by setting to   0.0.0.0. ",
yarn.timeline-service.generic-application-history.max-applications,   Defines the max number of applications could be fetched using REST API or   application history protocol and shown in timeline server web ui. ,10000
yarn.timeline-service.store-class,Store class name for timeline store.,org.apache.hadoop.yarn.server.timeline.LeveldbTimelineStore
yarn.timeline-service.ttl-enable,Enable age off of timeline store data.,true
yarn.timeline-service.ttl-ms,Time to live for timeline store data in milliseconds.,604800000
yarn.timeline-service.leveldb-timeline-store.path,Store file name for leveldb timeline store.,${hadoop.tmp.dir}/yarn/timeline
yarn.timeline-service.leveldb-timeline-store.ttl-interval-ms,Length of time to wait between deletion cycles of leveldb timeline store in milliseconds.,300000
yarn.timeline-service.leveldb-timeline-store.read-cache-size,Size of read cache for uncompressed blocks for leveldb timeline store in bytes.,104857600
yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size,Size of cache for recently read entity start times for leveldb timeline store in number of entities.,10000
yarn.timeline-service.leveldb-timeline-store.start-time-write-cache-size,Size of cache for recently written entity start times for leveldb timeline store in number of entities.,10000
yarn.timeline-service.handler-thread-count,Handler thread count to serve the client RPC requests.,10
yarn.timeline-service.http-authentication.type,   Defines authentication used for the timeline server HTTP endpoint.   Supported values are: simple | kerberos | #AUTHENTICATION_HANDLER_CLASSNAME# ,simple
yarn.timeline-service.http-authentication.simple.anonymous.allowed,   Indicates if anonymous requests are allowed by the timeline server when using   'simple' authentication. ,true
yarn.timeline-service.principal,The Kerberos principal for the timeline server.,
yarn.timeline-service.keytab,The Kerberos keytab for the timeline server.,/etc/krb5.keytab
yarn.timeline-service.ui-names,Comma separated list of UIs that will be hosted,
yarn.timeline-service.client.max-retries, Default maximum number of retries for timeline service client and value -1 means no limit. ,30
yarn.timeline-service.client.best-effort,"Client policy for whether timeline operations are non-fatal. Should the failure to obtain a delegation token be considered an application failure (option = false),  or should the client attempt to continue to publish information without it (option=true)",false
yarn.timeline-service.client.retry-interval-ms, Default retry time interval for timeline servive client. ,1000
yarn.timeline-service.client.drain-entities.timeout.ms, The time period for which timeline v2 client will wait for draining leftover entities after stop. ,2000
yarn.timeline-service.recovery.enabled,"Enable timeline server to recover state after starting. If true, then yarn.timeline-service.state-store-class must be specified. ",false
yarn.timeline-service.state-store-class,Store class name for timeline state store.,org.apache.hadoop.yarn.server.timeline.recovery.LeveldbTimelineStateStore
yarn.timeline-service.leveldb-state-store.path,Store file name for leveldb state store.,${hadoop.tmp.dir}/yarn/timeline
yarn.timeline-service.entity-group-fs-store.cache-store-class,Caching storage timeline server v1.5 is using. ,org.apache.hadoop.yarn.server.timeline.MemoryTimelineStore
yarn.timeline-service.entity-group-fs-store.active-dir,HDFS path to store active application’s timeline data,/tmp/entity-file-history/active
yarn.timeline-service.entity-group-fs-store.done-dir,HDFS path to store done application’s timeline data,/tmp/entity-file-history/done/
yarn.timeline-service.entity-group-fs-store.group-id-plugin-classes,"   Plugins that can translate a timeline entity read request into   a list of timeline entity group ids, separated by commas. ",
yarn.timeline-service.entity-group-fs-store.group-id-plugin-classpath,   Classpath for all plugins defined in   yarn.timeline-service.entity-group-fs-store.group-id-plugin-classes. ,
yarn.timeline-service.entity-group-fs-store.summary-store,Summary storage for ATS v1.5,org.apache.hadoop.yarn.server.timeline.LeveldbTimelineStore
yarn.timeline-service.entity-group-fs-store.scan-interval-seconds,   Scan interval for ATS v1.5 entity group file system storage reader.This   value controls how frequent the reader will scan the HDFS active directory   for application status. ,60
yarn.timeline-service.entity-group-fs-store.cleaner-interval-seconds,   Scan interval for ATS v1.5 entity group file system storage cleaner.This   value controls how frequent the reader will scan the HDFS done directory   for stale application data. ,3600
yarn.timeline-service.entity-group-fs-store.retain-seconds,   How long the ATS v1.5 entity group file system storage will keep an   application's data in the done directory. ,604800
yarn.timeline-service.entity-group-fs-store.leveldb-cache-read-cache-size,   Read cache size for the leveldb cache storage in ATS v1.5 plugin storage. ,10485760
yarn.timeline-service.entity-group-fs-store.app-cache-size,"   Size of the reader cache for ATS v1.5 reader. This value controls how many   entity groups the ATS v1.5 server should cache. If the number of active   read entity groups is greater than the number of caches items, some reads   may return empty data. This value must be greater than 0. ",10
yarn.timeline-service.client.fd-flush-interval-secs,   Flush interval for ATS v1.5 writer. This value controls how frequent   the writer will flush the HDFS FSStream for the entity/domain. ,10
yarn.timeline-service.client.fd-clean-interval-secs,"   Scan interval for ATS v1.5 writer. This value controls how frequent   the writer will scan the HDFS FSStream for the entity/domain.   If the FSStream is stale for a long time, this FSStream will be close. ",60
yarn.timeline-service.client.fd-retain-secs,"   How long the ATS v1.5 writer will keep an FSStream open.   If this fsstream does not write anything for this configured time,   it will be close. ",300
yarn.timeline-service.writer.class,   Storage implementation ATS v2 will use for the TimelineWriter service. ,org.apache.hadoop.yarn.server.timelineservice.storage.HBaseTimelineWriterImpl
yarn.timeline-service.reader.class,   Storage implementation ATS v2 will use for the TimelineReader service. ,org.apache.hadoop.yarn.server.timelineservice.storage.HBaseTimelineReaderImpl
yarn.timeline-service.client.internal-timers-ttl-secs,"   How long the internal Timer Tasks can be alive in writer. If there is no   write operation for this configured time, the internal timer tasks will   be close. ",420
yarn.timeline-service.writer.flush-interval-seconds,The setting that controls how often the timeline collector flushes the timeline writer.,60
yarn.timeline-service.app-collector.linger-period.ms,"Time period till which the application collector will be alive  in NM, after the  application master container finishes.",1000
yarn.timeline-service.timeline-client.number-of-async-entities-to-merge,Time line V2 client tries to merge these many number of async entities (if available) and then call the REST ATS V2 API to submit. ,10
"yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds
    ", The setting that controls how long the final value of a metric of a completed app is retained before merging into the flow sum. Up to this time after an application is completed out-of-order values that arrive can be recognized and discarded at the cost of increased storage. ,259200000
"yarn.timeline-service.hbase.coprocessor.jar.hdfs.location
    ", The default hdfs location for flowrun coprocessor jar. ,/hbase/coprocessor/hadoop-yarn-server-timelineservice.jar
yarn.timeline-service.hbase-schema.prefix," The value of this parameter sets the prefix for all tables that are part of timeline service in the hbase storage schema. It can be set to ""dev."" or ""staging."" if it is to be used for development or staging instances. This way the data in production tables stays in a separate set of tables prefixed by ""prod."". ",prod.
"yarn.timeline-service.hbase.configuration.file
    "," Optional URL to an hbase-site.xml configuration file to be used to connect to the timeline-service hbase cluster. If empty or not specified, then the HBase configuration will be loaded from the classpath. When specified the values in the specified configuration file will override those from the ones that are present on the classpath. ",
yarn.sharedcache.enabled,Whether the shared cache is enabled,false
yarn.sharedcache.root-dir,The root directory for the shared cache,/sharedcache
yarn.sharedcache.nested-level,The level of nested directories before getting to the checksum directories. It must be non-negative.,3
yarn.sharedcache.store.class,The implementation to be used for the SCM store,org.apache.hadoop.yarn.server.sharedcachemanager.store.InMemorySCMStore
yarn.sharedcache.app-checker.class,The implementation to be used for the SCM app-checker,org.apache.hadoop.yarn.server.sharedcachemanager.RemoteAppChecker
yarn.sharedcache.store.in-memory.staleness-period-mins,A resource in the in-memory store is considered stale if the time since the last reference exceeds the staleness period. This value is specified in minutes.,10080
yarn.sharedcache.store.in-memory.initial-delay-mins,Initial delay before the in-memory store runs its first check to remove dead initial applications. Specified in minutes.,10
yarn.sharedcache.store.in-memory.check-period-mins,The frequency at which the in-memory store checks to remove dead initial applications. Specified in minutes.,720
yarn.sharedcache.admin.address,The address of the admin interface in the SCM (shared cache manager),0.0.0.0:8047
yarn.sharedcache.admin.thread-count,The number of threads used to handle SCM admin interface (1 by default),1
yarn.sharedcache.webapp.address,The address of the web application in the SCM (shared cache manager),0.0.0.0:8788
yarn.sharedcache.cleaner.period-mins,The frequency at which a cleaner task runs. Specified in minutes.,1440
yarn.sharedcache.cleaner.initial-delay-mins,Initial delay before the first cleaner task is scheduled. Specified in minutes.,10
yarn.sharedcache.cleaner.resource-sleep-ms,The time to sleep between processing each shared cache resource. Specified in milliseconds.,0
yarn.sharedcache.uploader.server.address,The address of the node manager interface in the SCM (shared cache manager),0.0.0.0:8046
yarn.sharedcache.uploader.server.thread-count,The number of threads used to handle shared cache manager requests from the node manager (50 by default),50
yarn.sharedcache.client-server.address,The address of the client interface in the SCM (shared cache manager),0.0.0.0:8045
yarn.sharedcache.client-server.thread-count,The number of threads used to handle shared cache manager requests from clients (50 by default),50
yarn.sharedcache.checksum.algo.impl,The algorithm used to compute checksums of files (SHA-256 by default),org.apache.hadoop.yarn.sharedcache.ChecksumSHA256Impl
yarn.sharedcache.nm.uploader.replication.factor,The replication factor for the node manager uploader for the shared cache (10 by default),10
yarn.sharedcache.nm.uploader.thread-count,The number of threads used to upload files from a node manager instance (20 by default),20
security.applicationhistory.protocol.acl, ACL protocol for use in the Timeline server. ,
yarn.is.minicluster, Set to true for MiniYARNCluster unit tests ,false
yarn.minicluster.control-resource-monitoring, Set for MiniYARNCluster unit tests to control resource monitoring ,false
yarn.minicluster.fixed.ports, Set to false in order to allow MiniYARNCluster to run tests without port conflicts. ,false
yarn.minicluster.use-rpc, Set to false in order to allow the NodeManager in MiniYARNCluster to use RPC to talk to the RM. ,false
yarn.minicluster.yarn.nodemanager.resource.memory-mb, As yarn.nodemanager.resource.memory-mb property but for the NodeManager in a MiniYARNCluster. ,4096
yarn.node-labels.enabled, Enable node labels feature ,false
yarn.node-labels.fs-store.retry-policy-spec," Retry policy used for FileSystem node label store. The policy is specified by N pairs of sleep-time in milliseconds and number-of-retries ""s1,n1,s2,n2,..."". ","2000, 500"
yarn.node-labels.fs-store.root-dir, URI for NodeLabelManager.  The default value is /tmp/hadoop-yarn-${user}/node-labels/ in the local filesystem. ,
yarn.node-labels.configuration-type," Set configuration type for node labels. Administrators can specify ""centralized"", ""delegated-centralized"" or ""distributed"". ",centralized
yarn.nodemanager.node-labels.provider," When ""yarn.node-labels.configuration-type"" is configured with ""distributed"" in RM, Administrators can configure in NM the provider for the node labels by configuring this parameter. Administrators can configure ""config"", ""script"" or the class name of the provider. Configured class needs to extend org.apache.hadoop.yarn.server.nodemanager.nodelabels.NodeLabelsProvider. If ""config"" is configured, then ""ConfigurationNodeLabelsProvider"" and if ""script"" is configured, then ""ScriptNodeLabelsProvider"" will be used. ",
yarn.nodemanager.node-labels.provider.fetch-interval-ms," When ""yarn.nodemanager.node-labels.provider"" is configured with ""config"", ""Script"" or the configured class extends AbstractNodeLabelsProvider, then periodically node labels are retrieved from the node labels provider. This configuration is to define the interval period. If -1 is configured then node labels are retrieved from provider only during initialization. Defaults to 10 mins. ",600000
yarn.nodemanager.node-labels.resync-interval-ms,"   Interval at which NM syncs its node labels with RM. NM will send its loaded   labels every x intervals configured, along with heartbeat to RM. ",120000
yarn.nodemanager.node-labels.provider.configured-node-partition," When ""yarn.nodemanager.node-labels.provider"" is configured with ""config"" then ConfigurationNodeLabelsProvider fetches the partition label from this parameter. ",
yarn.nodemanager.node-labels.provider.fetch-timeout-ms," When ""yarn.nodemanager.node-labels.provider"" is configured with ""Script"" then this configuration provides the timeout period after which it will interrupt the script which queries the Node labels. Defaults to 20 mins. ",1200000
yarn.resourcemanager.node-labels.provider," When node labels ""yarn.node-labels.configuration-type"" is of type ""delegated-centralized"", administrators should configure the class for fetching node labels by ResourceManager. Configured class needs to extend org.apache.hadoop.yarn.server.resourcemanager.nodelabels. RMNodeLabelsMappingProvider. ",
yarn.resourcemanager.node-labels.provider.fetch-interval-ms," When ""yarn.node-labels.configuration-type"" is configured with ""delegated-centralized"", then periodically node labels are retrieved from the node labels provider. This configuration is to define the interval. If -1 is configured then node labels are retrieved from provider only once for each node after it registers. Defaults to 30 mins. ",1800000
yarn.resourcemanager.nodemanager-graceful-decommission-timeout-secs, Timeout in seconds for YARN node graceful decommission. This is the maximal time to wait for running containers and applications to complete before transition a DECOMMISSIONING node into DECOMMISSIONED. ,3600
yarn.resourcemanager.decommissioning-nodes-watcher.poll-interval-secs, Timeout in seconds of DecommissioningNodesWatcher internal polling. ,20
yarn.nodemanager.node-labels.provider.script.path,"The Node Label script to run. Script output Line starting with  ""NODE_PARTITION:"" will be considered as Node Label Partition. In case of  multiple lines have this pattern, then last one will be considered ",
yarn.nodemanager.node-labels.provider.script.opts,The arguments to pass to the Node label script.,
yarn.federation.enabled,   Flag to indicate whether the RM is participating in Federation or not. ,false
yarn.federation.machine-list,   Machine list file to be loaded by the FederationSubCluster Resolver ,
yarn.federation.subcluster-resolver.class,   Class name for SubClusterResolver ,org.apache.hadoop.yarn.server.federation.resolver.DefaultSubClusterResolverImpl
yarn.federation.state-store.class,   Store class name for federation state store ,org.apache.hadoop.yarn.server.federation.store.impl.MemoryFederationStateStore
yarn.federation.cache-ttl.secs, The time in seconds after which the federation state store local cache will be refreshed periodically   ,300
yarn.federation.registry.base-dir,The registry base directory for federation.,yarnfederation/
yarn.registry.class,The registry implementation to use.,org.apache.hadoop.registry.client.impl.FSRegistryOperationsService
yarn.client.application-client-protocol.poll-interval-ms,The interval that the yarn client library uses to poll the completion status of the asynchronous API of application client protocol. ,200
yarn.client.application-client-protocol.poll-timeout-ms, The duration (in ms) the YARN client waits for an expected state change to occur.  -1 means unlimited wait time. ,-1
yarn.nodemanager.container-monitor.procfs-tree.smaps-based-rss.enabled,"RSS usage of a process computed via /proc/pid/stat is not very accurate as it includes shared pages of a process. /proc/pid/smaps provides useful information like Private_Dirty, Private_Clean, Shared_Dirty, Shared_Clean which can be used for computing more accurate RSS. When this flag is enabled, RSS is computed as Min(Shared_Dirty, Pss) + Private_Clean + Private_Dirty. It excludes read-only shared mappings in RSS computation.   ",false
yarn.log.server.url, URL for log aggregation server ,
yarn.log.server.web-service.url, URL for log aggregation server web service ,
yarn.tracking.url.generator, RM Application Tracking URL ,
yarn.authorization-provider, Class to be used for YarnAuthorizationProvider ,
yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds,"Defines how often NMs wake up to upload log files. The default value is -1. By default, the logs will be uploaded when the application is finished. By setting this configure, logs can be uploaded periodically when the application is running. The minimum rolling-interval-seconds can be set is 3600. ",-1
yarn.intermediate-data-encryption.enable," Enable/disable intermediate-data encryption at YARN level. For now, this only is used by the FileSystemRMStateStore to setup right file-system security attributes. ",false
yarn.nodemanager.webapp.cross-origin.enabled,Flag to enable cross-origin (CORS) support in the NM. This flag requires the CORS filter initializer to be added to the filter initializers list in core-site.xml.,false
yarn.cluster.max-application-priority," Defines maximum application priority in a cluster. If an application is submitted with a priority higher than this value, it will be reset to this maximum value. ",0
yarn.nodemanager.log-aggregation.policy.class, The default log aggregation policy class. Applications can override it via LogAggregationContext. This configuration can provide some cluster-side default behavior so that if the application doesn't specify any policy via LogAggregationContext administrators of the cluster can adjust the policy globally. ,org.apache.hadoop.yarn.server.nodemanager.containermanager.logaggregation.AllContainerLogAggregationPolicy
yarn.nodemanager.log-aggregation.policy.parameters, The default parameters for the log aggregation policy. Applications can override it via LogAggregationContext. This configuration can provide some cluster-side default behavior so that if the application doesn't specify any policy via LogAggregationContext administrators of the cluster can adjust the policy globally. ,
yarn.nodemanager.amrmproxy.enabled, Enable/Disable AMRMProxyService in the node manager. This service is used to intercept calls from the application masters to the resource manager. ,false
yarn.nodemanager.amrmproxy.address, The address of the AMRMProxyService listener. ,0.0.0.0:8049
yarn.nodemanager.amrmproxy.client.thread-count, The number of threads used to handle requests by the AMRMProxyService. ,25
yarn.nodemanager.amrmproxy.interceptor-class.pipeline, The comma separated list of class names that implement the RequestInterceptor interface. This is used by the AMRMProxyService to create the request processing pipeline for applications. ,org.apache.hadoop.yarn.server.nodemanager.amrmproxy.DefaultRequestInterceptor
yarn.nodemanager.amrmproxy.ha.enable, Whether AMRMProxy HA is enabled. ,false
yarn.nodemanager.distributed-scheduling.enabled, Setting that controls whether distributed scheduling is enabled. ,false
yarn.resourcemanager.opportunistic-container-allocation.enabled,   Setting that controls whether opportunistic container allocation   is enabled. ,false
