hadoop.common.configuration.version,version of this configuration file,0.23.0
fs.azure.sas.expiry.period," The default value to be used for expiration period for SAS keys generated. Can use the following suffix (case insensitive): ms(millis), s(sec), m(min), h(hour), d(day) to specify the time (such as 2s, 2m, 1h, etc.).  ",90d
fs.azure.authorization," Config flag to enable authorization support in WASB. Setting it to ""true"" enables authorization support to WASB. Currently WASB authorization requires a remote service to provide authorization that needs to be specified via fs.azure.authorization.remote.service.url configuration  ",false
fs.azure.authorization.caching.enable, Config flag to enable caching of authorization results and saskeys in WASB. This flag is relevant only when fs.azure.authorization is enabled.  ,true
fs.azure.saskey.usecontainersaskeyforallaccess, Use container saskey for access to all blobs within the container. Blob-specific saskeys are not used when this setting is enabled. This setting provides better performance compared to blob-specific saskeys.  ,true
fs.adl.impl,,org.apache.hadoop.fs.adl.AdlFileSystem
fs.AbstractFileSystem.adl.impl,,org.apache.hadoop.fs.adl.Adl
io.seqfile.compress.blocksize,The minimum block size for compression in block compressed    SequenceFiles.  ,1000000
io.mapfile.bloom.size,"The size of BloomFilter-s used in BloomMapFile. Each time this many  keys is appended the next BloomFilter will be created (inside a DynamicBloomFilter).  Larger values minimize the number of filters, which slightly increases the performance,  but may waste too much space if the total number of keys is usually much smaller  than this number.  ",1048576
io.mapfile.bloom.error.rate,"The rate of false positives in BloomFilter-s used in BloomMapFile.  As this value decreases, the size of BloomFilter-s increases exponentially. This  value is the probability of encountering false positives (default is 0.5%).  ",0.005
hadoop.util.hash.type,The default implementation of Hash. Currently this can take one of the  two values: 'murmur' to select MurmurHash and 'jenkins' to select JenkinsHash.  ,murmur
ipc.client.idlethreshold,Defines the threshold number of connections after which      connections will be inspected for idleness.  ,4000
ipc.client.kill.max,Defines the maximum number of clients to disconnect in one go.  ,10
ipc.client.connection.maxidletime,The maximum time in msec after which a client will bring down the      connection to the server.  ,10000
ipc.client.connect.max.retries,Indicates the number of retries a client will make to establish      a server connection.  ,10
ipc.client.connect.retry.interval,Indicates the number of milliseconds a client will wait for before retrying to establish a server connection.  ,1000
ipc.client.connect.timeout,Indicates the number of milliseconds a client will wait for the      socket to establish a server connection.  ,20000
ipc.client.connect.max.retries.on.timeouts,Indicates the number of retries a client will make on socket timeout      to establish a server connection.  ,45
ipc.client.tcpnodelay,Use TCP_NODELAY flag to bypass Nagle's algorithm transmission delays.  ,true
ipc.client.low-latency,Use low-latency QoS markers for IPC connections.  ,false
ipc.client.ping,"Send a ping to the server when timeout on reading the response,  if set to true. If no failure is detected, the client retries until at least  a byte is read or the time given by ipc.client.rpc-timeout.ms is passed.  ",true
ipc.ping.interval,"Timeout on waiting response from server, in milliseconds.  The client will send ping when the interval is passed without receiving bytes,  if ipc.client.ping is set to true.  ",60000
ipc.client.rpc-timeout.ms,"Timeout on waiting response from server, in milliseconds.  If ipc.client.ping is set to true and this rpc-timeout is greater than  the value of ipc.ping.interval, the effective value of the rpc-timeout is  rounded up to multiple of ipc.ping.interval.  ",0
ipc.server.listen.queue.size,Indicates the length of the listen queue for servers accepting      client connections.  ,128
ipc.server.log.slow.rpc,This setting is useful to troubleshoot performance issues for  various services. If this value is set to true then we log requests that  fall into 99th percentile as well as increment RpcSlowCalls counter. ,false
ipc.maximum.data.length,This indicates the maximum IPC message length (bytes) that can be accepted by the server. Messages larger than this value are rejected by the immediately to avoid possible OOMs. This setting should rarely need to be changed.  ,67108864
ipc.maximum.response.length,This indicates the maximum IPC message length (bytes) that can be accepted by the client. Messages larger than this value are rejected immediately to avoid possible OOMs. This setting should rarely need to be changed.  Set to 0 to disable.  ,134217728
hadoop.security.impersonation.provider.class,"A class which implements ImpersonationProvider interface, used to    authorize whether one user can impersonate a specific user.    If not specified, the DefaultImpersonationProvider will be used.    If a class is specified, then that class will be used to determine    the impersonation capability.  ",
hadoop.rpc.socket.factory.class.default," Default SocketFactory to use. This parameter is expected to be formatted as ""package.FactoryClassName"".  ",org.apache.hadoop.net.StandardSocketFactory
hadoop.rpc.socket.factory.class.ClientProtocol," SocketFactory to use to connect to a DFS. If null or empty, use hadoop.rpc.socket.class.default. This socket factory is also used by DFSClient to create sockets to DataNodes.  ",
hadoop.socks.server, Address (host:port) of the SOCKS server to be used by the SocksSocketFactory.  ,
net.topology.node.switch.mapping.impl," The default implementation of the DNSToSwitchMapping. It invokes a script specified in net.topology.script.file.name to resolve node names. If the value for net.topology.script.file.name is not set, the default value of DEFAULT_RACK is returned for all node names.  ",org.apache.hadoop.net.ScriptBasedMapping
net.topology.impl, The default implementation of NetworkTopology which is classic three layer one.  ,org.apache.hadoop.net.NetworkTopology
net.topology.script.file.name," The script name that should be invoked to resolve DNS names to NetworkTopology names. Example: the script would take host.foo.bar as an argument, and return /rack1 as the output.  ",
net.topology.script.number.args, The max number of args that the script configured with net.topology.script.file.name should be run with. Each arg is an IP address.  ,100
net.topology.table.file.name," The file name for a topology file, which is used when the net.topology.node.switch.mapping.impl property is set to org.apache.hadoop.net.TableMapping. The file format is a two column text file, with columns separated by whitespace. The first column is a DNS or IP address and the second column specifies the rack where the address maps. If no entry corresponding to a host in the cluster is found, then /default-rack is assumed.  ",
file.stream-buffer-size,"The size of buffer to stream files.  The size of this buffer should probably be a multiple of hardware  page size (4096 on Intel x86), and it determines how much data is  buffered during read and write operations.",4096
file.bytes-per-checksum,The number of bytes per checksum.  Must not be larger than  file.stream-buffer-size,512
file.client-write-packet-size,Packet size for clients to write,65536
file.blocksize,Block size,67108864
file.replication,Replication factor,1
s3.stream-buffer-size,"The size of buffer to stream files.  The size of this buffer should probably be a multiple of hardware  page size (4096 on Intel x86), and it determines how much data is  buffered during read and write operations.",4096
s3.bytes-per-checksum,The number of bytes per checksum.  Must not be larger than  s3.stream-buffer-size,512
s3.client-write-packet-size,Packet size for clients to write,65536
s3.blocksize,Block size,67108864
s3.replication,Replication factor,3
s3native.stream-buffer-size,"The size of buffer to stream files.  The size of this buffer should probably be a multiple of hardware  page size (4096 on Intel x86), and it determines how much data is  buffered during read and write operations.",4096
s3native.bytes-per-checksum,The number of bytes per checksum.  Must not be larger than  s3native.stream-buffer-size,512
s3native.client-write-packet-size,Packet size for clients to write,65536
s3native.blocksize,Block size,67108864
s3native.replication,Replication factor,3
ftp.stream-buffer-size,"The size of buffer to stream files.  The size of this buffer should probably be a multiple of hardware  page size (4096 on Intel x86), and it determines how much data is  buffered during read and write operations.",4096
ftp.bytes-per-checksum,The number of bytes per checksum.  Must not be larger than  ftp.stream-buffer-size,512
ftp.client-write-packet-size,Packet size for clients to write,65536
ftp.blocksize,Block size,67108864
ftp.replication,Replication factor,3
tfile.io.chunk.size, Value chunk size in bytes. Default  to 1MB. Values of the length less than the chunk size is guaranteed to have known value length in read time (See also TFile.Reader.Scanner.Entry.isValueLengthKnown()).  ,1048576
tfile.fs.output.buffer.size, Buffer size used for FSDataOutputStream in bytes.  ,262144
tfile.fs.input.buffer.size, Buffer size used for FSDataInputStream in bytes.  ,262144
hadoop.http.authentication.type, Defines authentication used for Oozie HTTP endpoint. Supported values are: simple | kerberos | #AUTHENTICATION_HANDLER_CLASSNAME#  ,simple
hadoop.http.authentication.token.validity, Indicates how long (in seconds) an authentication token is valid before it has to be renewed.  ,36000
hadoop.http.authentication.signature.secret.file, The signature secret for signing the authentication tokens. The same secret should be used for JT/NN/DN/TT configurations.  ,${user.home}/hadoop-http-auth-signature-secret
hadoop.http.authentication.cookie.domain," The domain to use for the HTTP cookie that stores the authentication token. In order to authentiation to work correctly across all Hadoop nodes web-consoles the domain must be correctly set. IMPORTANT: when using IP addresses, browsers ignore cookies with domain settings. For this setting to work properly all nodes in the cluster must be configured to generate URLs with hostname.domain names on it.  ",
hadoop.http.authentication.simple.anonymous.allowed, Indicates if anonymous requests are allowed when using 'simple' authentication.  ,true
hadoop.http.authentication.kerberos.principal, Indicates the Kerberos principal to be used for HTTP endpoint. The principal MUST start with 'HTTP/' as per Kerberos HTTP SPNEGO specification.  ,HTTP/_HOST@LOCALHOST
hadoop.http.authentication.kerberos.keytab, Location of the keytab file with the credentials for the principal. Referring to the same keytab file Oozie uses for its Kerberos credentials for Hadoop.  ,${user.home}/hadoop.keytab
hadoop.http.cross-origin.enabled,Enable/disable the cross-origin (CORS) filter.,false
hadoop.http.cross-origin.allowed-origins,Comma separated list of origins that are allowed for web services needing cross-origin (CORS) support. Wildcards (*) and patterns allowed,*
hadoop.http.cross-origin.allowed-methods,Comma separated list of methods that are allowed for web services needing cross-origin (CORS) support.,"GET,POST,HEAD"
hadoop.http.cross-origin.allowed-headers,Comma separated list of headers that are allowed for web services needing cross-origin (CORS) support.,"X-Requested-With,Content-Type,Accept,Origin"
hadoop.http.cross-origin.max-age,The number of seconds a pre-flighted request can be cached for web services needing cross-origin (CORS) support.,1800
dfs.ha.fencing.methods, List of fencing methods to use for service fencing. May contain builtin methods (eg shell and sshfence) or user-defined method.  ,
dfs.ha.fencing.ssh.connect-timeout," SSH connection timeout, in milliseconds, to use with the builtin sshfence fencer.  ",30000
dfs.ha.fencing.ssh.private-key-files, The SSH private key files to use with the builtin sshfence fencer.  ,
hadoop.http.staticuser.user," The user name to filter as, on static web filters while rendering content. An example use is the HDFS web UI (user to be used for browsing files).  ",dr.who
ha.zookeeper.quorum," A list of ZooKeeper server addresses, separated by commas, that are to be used by the ZKFailoverController in automatic failover.  ",
ha.zookeeper.session-timeout.ms," The session timeout to use when the ZKFC connects to ZooKeeper. Setting this value to a lower value implies that server crashes will be detected more quickly, but risks triggering failover too aggressively in the case of a transient error or network blip.  ",10000
ha.zookeeper.parent-znode," The ZooKeeper znode under which the ZK failover controller stores its information. Note that the nameservice ID is automatically appended to this znode, so it is not normally necessary to configure this, even in a federated environment.  ",/hadoop-ha
ha.zookeeper.acl," A comma-separated list of ZooKeeper ACLs to apply to the znodes used by automatic failover. These ACLs are specified in the same format as used by the ZooKeeper CLI. If the ACL itself contains secrets, you may instead specify a path to a file, prefixed with the '@' symbol, and the value of this configuration will be loaded from within.  ",world:anyone:rwcda
ha.zookeeper.auth," A comma-separated list of ZooKeeper authentications to add when connecting to ZooKeeper. These are specified in the same format as used by the ""addauth"" command in the ZK CLI. It is important that the authentications specified here are sufficient to access znodes with the ACL specified in ha.zookeeper.acl. If the auths contain secrets, you may instead specify a path to a file, prefixed with the '@' symbol, and the value of this configuration will be loaded from within.  ",
hadoop.ssl.keystores.factory.class, The keystores factory to use for retrieving certificates.  ,org.apache.hadoop.security.ssl.FileBasedKeyStoresFactory
hadoop.ssl.require.client.cert,Whether client certificates are required,false
hadoop.ssl.hostname.verifier," The hostname verifier to provide for HttpsURLConnections. Valid values are: DEFAULT, STRICT, STRICT_IE6, DEFAULT_AND_LOCALHOST and ALLOW_ALL  ",DEFAULT
hadoop.ssl.server.conf," Resource file from which ssl server keystore information will be extracted. This file is looked up in the classpath, typically it should be in Hadoop conf/ directory.  ",ssl-server.xml
hadoop.ssl.client.conf," Resource file from which ssl client keystore information will be extracted This file is looked up in the classpath, typically it should be in Hadoop conf/ directory.  ",ssl-client.xml
hadoop.ssl.enabled, Deprecated. Use dfs.http.policy and yarn.http.policy instead.  ,false
hadoop.ssl.enabled.protocols, The supported SSL protocols.  ,"TLSv1,SSLv2Hello,TLSv1.1,TLSv1.2"
hadoop.jetty.logs.serve.aliases, Enable/Disable aliases serving from jetty  ,true
fs.permissions.umask-mode," The umask used when creating files and directories. Can be in octal or in symbolic. Examples are: ""022"" (octal for u=rwx,g=r-x,o=r-x in symbolic), or ""u=rwx,g=rwx,o="" (symbolic for 007 in octal).  ",022
ha.health-monitor.connect-retry-interval.ms, How often to retry connecting to the service.  ,1000
ha.health-monitor.check-interval.ms, How often to check the service.  ,1000
ha.health-monitor.sleep-after-disconnect.ms, How long to sleep after an unexpected RPC error.  ,1000
ha.health-monitor.rpc-timeout.ms, Timeout for the actual monitorHealth() calls.  ,45000
ha.failover-controller.new-active.rpc-timeout.ms, Timeout that the FC waits for the new active to become active  ,60000
ha.failover-controller.graceful-fence.rpc-timeout.ms, Timeout that the FC waits for the old active to go to standby  ,5000
ha.failover-controller.graceful-fence.connection.retries, FC connection retries for graceful fencing  ,1
ha.failover-controller.cli-check.rpc-timeout.ms," Timeout that the CLI (manual) FC waits for monitorHealth, getServiceState  ",20000
ipc.client.fallback-to-simple-auth-allowed," When a client is configured to attempt a secure connection, but attempts to connect to an insecure server, that server may instruct the client to switch to SASL SIMPLE (unsecure) authentication. This setting controls whether or not the client will accept this instruction from the server. When false (the default), the client will not allow the fallback to SIMPLE authentication, and will abort the connection.  ",false
fs.client.resolve.remote.symlinks,"   Whether to resolve symlinks when accessing a remote Hadoop filesystem.   Setting this to false causes an exception to be thrown upon encountering   a symlink. This setting does not apply to local filesystems, which   automatically resolve local symlinks.  ",true
nfs.exports.allowed.hosts," By default, the export can be mounted by any client. The value string contains machine name and access privilege, separated by whitespace characters. The machine name format can be a single host, a Java regular expression, or an IPv4 address. The access privilege uses rw or ro to specify read/write or read-only access of the machines to exports. If the access privilege is not provided, the default is read-only. Entries are separated by "";"". For example: ""192.168.0.0/22 rw ; host.*\.example\.com ; host1.test.org ro;"". Only the NFS gateway needs to restart after this property is updated.  ",* rw
hadoop.user.group.static.mapping.overrides," Static mapping of user to groups. This will override the groups if available in the system for the specified user. In other words, groups look-up will not happen for these users, instead groups mapped in this configuration will be used. Mapping should be in this format. user1=group1,group2;user2=;user3=group2; Default, ""dr.who=;"" will consider ""dr.who"" as user without groups.  ",dr.who=;
rpc.metrics.quantile.enable," Setting this property to true and rpc.metrics.percentiles.intervals to a comma-separated list of the granularity in seconds, the 50/75/90/95/99th percentile latency for rpc queue/processing time in milliseconds are added to rpc metrics.  ",false
rpc.metrics.percentiles.intervals, A comma-separated list of the granularity in seconds for the metrics which describe the 50/75/90/95/99th percentile latency for rpc queue/processing time. The metrics are outputted if rpc.metrics.quantile.enable is set to true.  ,
hadoop.security.crypto.codec.classes.EXAMPLECIPHERSUITE," The prefix for a given crypto codec, contains a comma-separated list of implementation classes for a given crypto codec (eg EXAMPLECIPHERSUITE). The first implementation will be used if available, others are fallbacks.  ",
hadoop.security.crypto.codec.classes.aes.ctr.nopadding," Comma-separated list of crypto codec implementations for AES/CTR/NoPadding. The first implementation will be used if available, others are fallbacks.  ","org.apache.hadoop.crypto.OpensslAesCtrCryptoCodec, org.apache.hadoop.crypto.JceAesCtrCryptoCodec"
hadoop.security.crypto.cipher.suite, Cipher suite for crypto codec.  ,AES/CTR/NoPadding
hadoop.security.crypto.jce.provider, The JCE provider name used in CryptoCodec.  ,
hadoop.security.crypto.jceks.key.serialfilter," Enhanced KeyStore Mechanisms in JDK 8u171 introduced jceks.key.serialFilter. If jceks.key.serialFilter is configured, the JCEKS KeyStore uses it during the deserialization of the encrypted Key object stored inside a SecretKeyEntry. If jceks.key.serialFilter is not configured it will cause an error when recovering keystore file in KeyProviderFactory when recovering key from keystore file using JDK 8u171 or newer. The filter pattern uses the same format as jdk.serialFilter. The value of this property will be used as the following: 1. The value of jceks.key.serialFilter system property takes precedence over the value of this property. 2. In the absence of jceks.key.serialFilter system property the value of this property will be set as the value of jceks.key.serialFilter. 3. If the value of this property and jceks.key.serialFilter system property has not been set, org.apache.hadoop.crypto.key.KeyProvider sets a default value for jceks.key.serialFilter.  ",
hadoop.security.crypto.buffer.size, The buffer size used by CryptoInputStream and CryptoOutputStream.  ,8192
hadoop.security.java.secure.random.algorithm, The java secure random algorithm.  ,SHA1PRNG
hadoop.security.secure.random.impl, Implementation of secure random.  ,
hadoop.security.random.device.file.path, OS security random device file path.  ,/dev/urandom
hadoop.security.key.provider.path," The KeyProvider to use when managing zone keys, and interacting with encryption keys when reading and writing to an encryption zone. For hdfs clients, the provider path will be same as namenode's provider path.  ",
fs.har.impl.disable.cache,Don't cache 'har' filesystem instances.,true
hadoop.security.kms.client.authentication.retry-count, Number of time to retry connecting to KMS on authentication failure  ,1
hadoop.security.kms.client.encrypted.key.cache.size, Size of the EncryptedKeyVersion cache Queue for each key  ,500
hadoop.security.kms.client.encrypted.key.cache.low-watermark," If size of the EncryptedKeyVersion cache Queue falls below the low watermark, this cache queue will be scheduled for a refill  ",0.3f
hadoop.security.kms.client.encrypted.key.cache.num.refill.threads, Number of threads to use for refilling depleted EncryptedKeyVersion cache Queues  ,2
hadoop.security.kms.client.encrypted.key.cache.expiry," Cache expiry time for a Key, after which the cache Queue for this key will be dropped. Default = 12hrs  ",43200000
hadoop.security.kms.client.timeout," Sets value for KMS client connection timeout, and the read timeout to KMS servers.  ",60
hadoop.security.kms.client.failover.sleep.base.millis," Expert only. The time to wait, in milliseconds, between failover attempts increases exponentially as a function of the number of attempts made so far, with a random factor of +/- 50%. This option specifies the base value used in the failover calculation. The first failover will retry immediately. The 2nd failover attempt will delay at least hadoop.security.client.failover.sleep.base.millis milliseconds. And so on.  ",100
hadoop.security.kms.client.failover.sleep.max.millis," Expert only. The time to wait, in milliseconds, between failover attempts increases exponentially as a function of the number of attempts made so far, with a random factor of +/- 50%. This option specifies the maximum value to wait between failovers. Specifically, the time between two failover attempts will not exceed +/- 50% of hadoop.security.client.failover.sleep.max.millis milliseconds.  ",2000
ipc.server.max.connections,"The maximum number of concurrent connections a server is allowed to accept. If this limit is exceeded, incoming connections will first fill the listen queue and then may go to an OS-specific listen overflow queue. The client may fail or timeout, but the server can avoid running out of file descriptors using this feature. 0 means no limit.  ",0
hadoop.registry.rm.enabled,"   Is the registry enabled in the YARN Resource Manager?   If true, the YARN RM will, as needed.   create the user and system paths, and purge   service records when containers, application attempts   and applications complete.   If false, the paths must be created by other means,   and no automatic cleanup of service records will take place. ",false
hadoop.registry.zk.root,   The root zookeeper node for the registry ,/registry
hadoop.registry.zk.session.timeout.ms,   Zookeeper session timeout in milliseconds ,60000
hadoop.registry.zk.connection.timeout.ms,   Zookeeper connection timeout in milliseconds ,15000
hadoop.registry.zk.retry.times,   Zookeeper connection retry count before failing ,5
hadoop.registry.zk.retry.interval.ms, ,1000
hadoop.registry.zk.retry.ceiling.ms,"   Zookeeper retry limit in milliseconds, during   exponential backoff.   This places a limit even   if the retry times and interval limit, combined   with the backoff policy, result in a long retry   period ",60000
hadoop.registry.zk.quorum,   List of hostname:port pairs defining the   zookeeper quorum binding for the registry ,localhost:2181
hadoop.registry.secure,"   Key to set if the registry is secure. Turning it on   changes the permissions policy from ""open access""   to restrictions on kerberos with the option of   a user adding one or more auth key pairs down their   own tree. ",false
hadoop.registry.system.acls,"   A comma separated list of Zookeeper ACL identifiers with   system access to the registry in a secure cluster.   These are given full access to all entries.   If there is an ""@"" at the end of a SASL entry it   instructs the registry client to append the default kerberos domain. ","sasl:yarn@, sasl:mapred@, sasl:hdfs@"
hadoop.registry.kerberos.realm,"   The kerberos realm: used to set the realm of   system principals which do not declare their realm,   and any other accounts that need the value.   If empty, the default realm of the running process   is used.   If neither are known and the realm is needed, then the registry   service/client will fail. ",
hadoop.registry.jaas.context,   Key to define the JAAS context. Used in secure   mode ,Client
hadoop.shell.missing.defaultFs.warning,   Enable hdfs shell commands to display warnings if (fs.defaultFS) property   is not set. ,false
hadoop.shell.safely.delete.limit.num.files,"Used by -safely option of hadoop fs shell -rm command to avoid   accidental deletion of large directories. When enabled, the -rm command   requires confirmation if the number of files to be deleted is greater than   this limit.  The default limit is 100 files. The warning is disabled if   the limit is 0 or the -safely is not specified in -rm command. ",100
fs.client.htrace.sampler.classes,The class names of the HTrace Samplers to use for Hadoop   filesystem clients. ,
hadoop.htrace.span.receiver.classes,The class names of the Span Receivers to use for Hadoop. ,
hadoop.http.logs.enabled,"   Enable the ""/logs"" endpoint on all Hadoop daemons, which serves local   logs, but may be considered a security risk due to it listing the contents   of a directory. ",true
fs.client.resolve.topology.enabled,"Whether the client machine will use the class specified by   property net.topology.node.switch.mapping.impl to compute the network   distance between itself and remote machines of the FileSystem. Additional   properties might need to be configured depending on the class specified   in net.topology.node.switch.mapping.impl. For example, if   org.apache.hadoop.net.ScriptBasedMapping is used, a valid script file   needs to be specified in net.topology.script.file.name. ",false
fs.adl.impl,,org.apache.hadoop.fs.adl.AdlFileSystem
fs.AbstractFileSystem.adl.impl,,org.apache.hadoop.fs.adl.Adl
adl.feature.ownerandgroup.enableupn,"   When true : User and Group in FileStatus/AclStatus response is   represented as user friendly name as per Azure AD profile.   When false (default) : User and Group in FileStatus/AclStatus   response is represented by the unique identifier from Azure AD   profile (Object ID as GUID).   For optimal performance, false is recommended. ",false
fs.adl.oauth2.access.token.provider.type,"   Defines Azure Active Directory OAuth2 access token provider type.   Supported types are ClientCredential, RefreshToken, MSI, DeviceCode,   and Custom.   The ClientCredential type requires property fs.adl.oauth2.client.id,   fs.adl.oauth2.credential, and fs.adl.oauth2.refresh.url.   The RefreshToken type requires property fs.adl.oauth2.client.id and   fs.adl.oauth2.refresh.token.   The MSI type reads optional property fs.adl.oauth2.msi.port, if specified.   The DeviceCode type requires property   fs.adl.oauth2.devicecode.clientapp.id.   The Custom type requires property fs.adl.oauth2.access.token.provider. ",ClientCredential
fs.adl.oauth2.client.id,The OAuth2 client id.,
fs.adl.oauth2.credential,The OAuth2 access key.,
fs.adl.oauth2.refresh.url,The OAuth2 token endpoint.,
fs.adl.oauth2.refresh.token,The OAuth2 refresh token.,
fs.adl.oauth2.access.token.provider,   The class name of the OAuth2 access token provider. ,
fs.adl.oauth2.msi.port,"   The localhost port for the MSI token service. This is the port specified   when creating the Azure VM. The default, if this setting is not specified,   is 50342.   Used by MSI token provider. ",
fs.adl.oauth2.devicecode.clientapp.id,   The app id of the AAD native app in whose context the auth request   should be made.   Used by DeviceCode token provider. ,
hadoop.caller.context.enabled,"When the feature is enabled, additional fields are written into   name-node audit log records for auditing coarse granularity operations. ",false
hadoop.caller.context.max.size,"The maximum bytes a caller context string can have. If the   passed caller context is longer than this maximum bytes, client will   truncate it before sending to server. Note that the server may have a   different maximum size, and will truncate the caller context to the   maximum size it allows. ",128
hadoop.caller.context.signature.max.size,"   The caller's signature (optional) is for offline validation. If the   signature exceeds the maximum allowed bytes in server, the caller context   will be abandoned, in which case the caller context will not be recorded   in audit logs. ",40
seq.io.sort.mb,"   The total amount of buffer memory to use while sorting files,   while using SequenceFile.Sorter, in megabytes. By default,   gives each merge stream 1MB, which should minimize seeks. ",100
seq.io.sort.factor,   The number of streams to merge at once while sorting   files using SequenceFile.Sorter.   This determines the number of open file handles. ,100
hadoop.zk.address,Host:Port of the ZooKeeper server to be used. ,
hadoop.zk.num-retries,Number of tries to connect to ZooKeeper.,1000
hadoop.zk.retry-interval-ms,Retry interval in milliseconds when connecting to ZooKeeper. ,1000
hadoop.zk.timeout-ms,"ZooKeeper session timeout in milliseconds. Session expiration is managed by the ZooKeeper cluster itself, not by the client. This value is used by the cluster to determine when the client's session expires. Expirations happens when the cluster does not hear from the client within the specified session timeout period (i.e. no heartbeat).",10000
hadoop.zk.acl,ACL's to be used for ZooKeeper znodes.,world:anyone:rwcda
hadoop.zk.auth,"  Specify the auths to be used for the ACL's specified in hadoop.zk.acl.  This takes a comma-separated list of authentication mechanisms, each of the  form 'scheme:auth' (the same syntax used for the 'addAuth' command in  the ZK CLI). ",
